1768540685.567578 server started (47022): version 3.6, socket /private/tmp/tmux-501/default, protocol 8
1768540685.567602 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1768540685.567610 using libevent 2.1.12-stable select
1768540685.567617 using utf8proc 2.11.2
1768540685.567622 using ncurses 6.5 20240427
1768540685.613902 cmd_parse_build_commands 1:1: -l
1768540685.613906 cmd_parse_build_commands 1:2: --
1768540685.613910 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1768540685.613915 args_parse_flags: next -q
1768540685.613920 args_parse_flags: -q
1768540685.613924 args_parse: flags end at 2 of 2
1768540685.613930 args_parse_flags: next -l
1768540685.613934 args_parse_flags: -l
1768540685.613938 args_parse_flags: next --
1768540685.613943 args_parse: flags end at 3 of 4
1768540685.613947 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1768540685.613956 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1768540685.613961 cmd_parse_build_commands 0:0: copy-mode
1768540685.613965 cmd_parse_build_commands 0:1: -q
1768540685.613970 cmd_parse_build_commands 1:0: set-buffer
1768540685.613974 cmd_parse_build_commands 1:1: --
1768540685.613978 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1768540685.613988 args_parse_flags: next -q
1768540685.613993 args_parse_flags: -q
1768540685.613997 args_parse: flags end at 2 of 2
1768540685.614003 args_parse_flags: next --
1768540685.614007 args_parse: flags end at 2 of 3
1768540685.614012 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1768540685.614019 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1768540685.614025 cmd_parse_build_commands 0:0: split-window
1768540685.614029 cmd_parse_build_commands 0:1: -h
1768540685.614035 args_parse_flags: next -h
1768540685.614039 args_parse_flags: -h
1768540685.614044 args_parse: flags end at 2 of 2
1768540685.614049 cmd_parse_build_commands: split-window -h
1768540685.614055 cmd_parse_build_commands 0:0: split-window
1768540685.614059 cmd_parse_build_commands 0:1: -v
1768540685.614065 args_parse_flags: next -v
1768540685.614069 args_parse_flags: -v
1768540685.614073 args_parse: flags end at 2 of 2
1768540685.614079 cmd_parse_build_commands: split-window -v
1768540685.614084 cmd_parse_build_commands 0:0: swap-pane
1768540685.614088 cmd_parse_build_commands 0:1: -U
1768540685.614094 args_parse_flags: next -U
1768540685.614099 args_parse_flags: -U
1768540685.614103 args_parse: flags end at 2 of 2
1768540685.614108 cmd_parse_build_commands: swap-pane -U
1768540685.614114 cmd_parse_build_commands 0:0: swap-pane
1768540685.614118 cmd_parse_build_commands 0:1: -D
1768540685.614124 args_parse_flags: next -D
1768540685.614128 args_parse_flags: -D
1768540685.614132 args_parse: flags end at 2 of 2
1768540685.614138 cmd_parse_build_commands: swap-pane -D
1768540685.614143 cmd_parse_build_commands 0:0: swap-pane
1768540685.614149 args_parse: flags end at 1 of 1
1768540685.614154 cmd_parse_build_commands: swap-pane
1768540685.614159 cmd_parse_build_commands 0:0: kill-pane
1768540685.614164 args_parse: flags end at 1 of 1
1768540685.614169 cmd_parse_build_commands: kill-pane
1768540685.614174 cmd_parse_build_commands 0:0: respawn-pane
1768540685.614179 cmd_parse_build_commands 0:1: -k
1768540685.614184 args_parse_flags: next -k
1768540685.614188 args_parse_flags: -k
1768540685.614193 args_parse: flags end at 2 of 2
1768540685.614198 cmd_parse_build_commands: respawn-pane -k
1768540685.614204 cmd_parse_build_commands 0:0: select-pane
1768540685.614208 cmd_parse_build_commands 0:1: -m
1768540685.614213 args_parse_flags: next -m
1768540685.614218 args_parse_flags: -m
1768540685.614222 args_parse: flags end at 2 of 2
1768540685.614227 cmd_parse_build_commands: select-pane -m
1768540685.614233 cmd_parse_build_commands 0:0: resize-pane
1768540685.614237 cmd_parse_build_commands 0:1: -Z
1768540685.614242 args_parse_flags: next -Z
1768540685.614246 args_parse_flags: -Z
1768540685.614251 args_parse: flags end at 2 of 2
1768540685.614256 cmd_parse_build_commands: resize-pane -Z
1768540685.614261 args_parse_flags: next -t=
1768540685.614265 args_parse_flag_argument: -t = =
1768540685.614269 args_parse_flags: next -xM
1768540685.614274 args_parse_flag_argument: -x = M
1768540685.614278 args_parse_flags: next -yM
1768540685.614282 args_parse_flag_argument: -y = M
1768540685.614287 args_parse_flags: next -T
1768540685.614292 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1768540685.614297 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1768540685.614301 args_parse: flags end at 6 of 62
1768540685.614306 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1768540685.614311 args_parse: 7 = < (type STRING)
1768540685.614318 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1768540685.614323 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1768540685.614330 args_parse: 10 = > (type STRING)
1768540685.614338 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1768540685.614343 args_parse: 12 =  (type STRING)
1768540685.614348 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1768540685.614353 args_parse: 14 = C-r (type STRING)
1768540685.614373 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" (type COMMANDS)
1768540685.614383 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1768540685.614388 args_parse: 17 = C-y (type STRING)
1768540685.614397 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1768540685.614402 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1768540685.614407 args_parse: 20 = c (type STRING)
1768540685.614415 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1768540685.614420 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1768540685.614424 args_parse: 23 = l (type STRING)
1768540685.614432 args_parse: 24 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1768540685.614436 args_parse: 25 =  (type STRING)
1768540685.614442 args_parse: 26 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1768540685.614447 args_parse: 27 = C-h (type STRING)
1768540685.614456 args_parse: 28 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1768540685.614461 args_parse: 29 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1768540685.614466 args_parse: 30 = h (type STRING)
1768540685.614474 args_parse: 31 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1768540685.614479 args_parse: 32 =  (type STRING)
1768540685.614484 args_parse: 33 = Horizontal Split (type STRING)
1768540685.614489 args_parse: 34 = h (type STRING)
1768540685.614495 args_parse: 35 = split-window -h (type COMMANDS)
1768540685.614500 args_parse: 36 = Vertical Split (type STRING)
1768540685.614505 args_parse: 37 = v (type STRING)
1768540685.614511 args_parse: 38 = split-window -v (type COMMANDS)
1768540685.614516 args_parse: 39 =  (type STRING)
1768540685.614521 args_parse: 40 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1768540685.614526 args_parse: 41 = u (type STRING)
1768540685.614532 args_parse: 42 = swap-pane -U (type COMMANDS)
1768540685.614537 args_parse: 43 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1768540685.614542 args_parse: 44 = d (type STRING)
1768540685.614548 args_parse: 45 = swap-pane -D (type COMMANDS)
1768540685.614553 args_parse: 46 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1768540685.614558 args_parse: 47 = s (type STRING)
1768540685.614563 args_parse: 48 = swap-pane (type COMMANDS)
1768540685.614567 args_parse: 49 =  (type STRING)
1768540685.614572 args_parse: 50 = Kill (type STRING)
1768540685.614577 args_parse: 51 = X (type STRING)
1768540685.614582 args_parse: 52 = kill-pane (type COMMANDS)
1768540685.614587 args_parse: 53 = Respawn (type STRING)
1768540685.614592 args_parse: 54 = R (type STRING)
1768540685.614598 args_parse: 55 = respawn-pane -k (type COMMANDS)
1768540685.614603 args_parse: 56 = #{?pane_marked,Unmark,Mark} (type STRING)
1768540685.614607 args_parse: 57 = m (type STRING)
1768540685.614613 args_parse: 58 = select-pane -m (type COMMANDS)
1768540685.614619 args_parse: 59 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1768540685.614624 args_parse: 60 = z (type STRING)
1768540685.614630 args_parse: 61 = resize-pane -Z (type COMMANDS)
1768540685.614748 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1768540685.614759 args_parse_flags: next -Ft=
1768540685.614763 args_parse_flags: -F
1768540685.614768 args_parse_flag_argument: -t = =
1768540685.614774 args_parse_flags: next #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1768540685.614778 args_parse: flags end at 2 of 5
1768540685.614784 args_parse: 2 = #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}} (type STRING)
1768540685.614791 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1768540685.614900 args_parse: 4 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1768540685.615019 cmd_parse_build_commands: if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1768540685.615032 args_parse_flags: next -n
1768540685.615036 args_parse_flags: -n
1768540685.615041 args_parse_flags: next MouseDown3Pane
1768540685.615045 args_parse: flags end at 2 of 4
1768540685.615050 args_parse: 2 = MouseDown3Pane (type STRING)
1768540685.615171 args_parse: 3 = if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } (type COMMANDS)
1768540685.615296 cmd_parse_build_commands: bind-key -n MouseDown3Pane { if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } } }
1768540685.615311 cmdq_get_command: [bind-key/0xa1ac49f00] group 1138
1768540685.615316 cmdq_append <global>: [bind-key/0xa1ac49f00]
1768540685.615327 yylex_token: end at WS
1768540685.615331 yylex_token: bind
1768540685.615336 yylex_token: end at WS
1768540685.615340 yylex_token: -n
1768540685.615346 yylex_token: end at WS
1768540685.615350 yylex_token: M-MouseDown3Pane
1768540685.615355 yylex_token: end at WS
1768540685.615360 yylex_token: display-menu
1768540685.615364 yylex_token: end at WS
1768540685.615368 yylex_token: -t=
1768540685.615373 yylex_token: end at WS
1768540685.615377 yylex_token: -xM
1768540685.615382 yylex_token: end at WS
1768540685.615386 yylex_token: -yM
1768540685.615390 yylex_token: end at WS
1768540685.615394 yylex_token: -T
1768540685.615401 yylex_token: end at WS
1768540685.615406 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1768540685.615414 yylex_token: end at WS
1768540685.615419 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1768540685.615423 yylex_token: end at WS
1768540685.615427 yylex_token: <
1768540685.615432 yylex_token: end at WS
1768540685.615436 yylex_token: send
1768540685.615440 yylex_token: end at WS
1768540685.615444 yylex_token: -X
1768540685.615450 yylex_token: end at }
1768540685.615454 yylex_token: history-top
1768540685.615462 yylex_token: end at WS
1768540685.615467 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1768540685.615471 yylex_token: end at WS
1768540685.615475 yylex_token: >
1768540685.615480 yylex_token: end at WS
1768540685.615484 yylex_token: send
1768540685.615488 yylex_token: end at WS
1768540685.615492 yylex_token: -X
1768540685.615498 yylex_token: end at }
1768540685.615502 yylex_token: history-bottom
1768540685.615507 yylex_token: end at WS
1768540685.615511 yylex_token: 
1768540685.615519 yylex_token: end at WS
1768540685.615524 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1768540685.615528 yylex_token: end at WS
1768540685.615532 yylex_token: C-r
1768540685.615537 yylex_token: end at WS
1768540685.615541 yylex_token: if
1768540685.615545 yylex_token: end at WS
1768540685.615549 yylex_token: -F
1768540685.615556 yylex_token: end at WS
1768540685.615561 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1768540685.615566 yylex_token: end at ;
1768540685.615571 yylex_token: copy-mode -t=
1768540685.615576 yylex_token: end at WS
1768540685.615580 yylex_token: send
1768540685.615584 yylex_token: end at WS
1768540685.615588 yylex_token: -Xt=
1768540685.615594 yylex_token: end at WS
1768540685.615598 yylex_token: search-backward
1768540685.615602 yylex_token: end at WS
1768540685.615606 yylex_token: --
1768540685.615612 yylex_token: end at }
1768540685.615616 yylex_token: #{q:mouse_word}
1768540685.615624 yylex_token: end at WS
1768540685.615629 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1768540685.615634 yylex_token: end at WS
1768540685.615638 yylex_token: C-y
1768540685.615643 yylex_token: end at WS
1768540685.615647 yylex_token: copy-mode
1768540685.615651 yylex_token: end at ;
1768540685.615655 yylex_token: -q
1768540685.615660 yylex_token: end at WS
1768540685.615665 yylex_token: send-keys
1768540685.615669 yylex_token: end at WS
1768540685.615673 yylex_token: -l
1768540685.615678 yylex_token: end at WS
1768540685.615682 yylex_token: --
1768540685.615687 yylex_token: end at }
1768540685.615692 yylex_token: #{q:mouse_word}
1768540685.615700 yylex_token: end at WS
1768540685.615704 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1768540685.615709 yylex_token: end at WS
1768540685.615713 yylex_token: c
1768540685.615718 yylex_token: end at WS
1768540685.615722 yylex_token: copy-mode
1768540685.615727 yylex_token: end at ;
1768540685.615731 yylex_token: -q
1768540685.615736 yylex_token: end at WS
1768540685.615740 yylex_token: set-buffer
1768540685.615745 yylex_token: end at WS
1768540685.615749 yylex_token: --
1768540685.615754 yylex_token: end at }
1768540685.615759 yylex_token: #{q:mouse_word}
1768540685.615765 yylex_token: end at WS
1768540685.615770 yylex_token: #{?mouse_line,Copy Line,}
1768540685.615774 yylex_token: end at WS
1768540685.615778 yylex_token: l
1768540685.615788 yylex_token: end at WS
1768540685.615792 yylex_token: copy-mode
1768540685.615797 yylex_token: end at ;
1768540685.615801 yylex_token: -q
1768540685.615806 yylex_token: end at WS
1768540685.615810 yylex_token: set-buffer
1768540685.615815 yylex_token: end at WS
1768540685.615819 yylex_token: --
1768540685.615824 yylex_token: end at }
1768540685.615828 yylex_token: #{q:mouse_line}
1768540685.615833 yylex_token: end at WS
1768540685.615837 yylex_token: 
1768540685.615846 yylex_token: end at WS
1768540685.615850 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1768540685.615855 yylex_token: end at WS
1768540685.615859 yylex_token: C-h
1768540685.615864 yylex_token: end at WS
1768540685.615868 yylex_token: copy-mode
1768540685.615872 yylex_token: end at ;
1768540685.615876 yylex_token: -q
1768540685.615882 yylex_token: end at WS
1768540685.615886 yylex_token: send-keys
1768540685.615890 yylex_token: end at WS
1768540685.615894 yylex_token: -l
1768540685.615898 yylex_token: end at WS
1768540685.615902 yylex_token: --
1768540685.615908 yylex_token: end at }
1768540685.615913 yylex_token: #{q:mouse_hyperlink}
1768540685.615922 yylex_token: end at WS
1768540685.615926 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1768540685.615930 yylex_token: end at WS
1768540685.615935 yylex_token: h
1768540685.615940 yylex_token: end at WS
1768540685.615944 yylex_token: copy-mode
1768540685.615948 yylex_token: end at ;
1768540685.615952 yylex_token: -q
1768540685.615958 yylex_token: end at WS
1768540685.615962 yylex_token: set-buffer
1768540685.615966 yylex_token: end at WS
1768540685.615970 yylex_token: --
1768540685.615976 yylex_token: end at }
1768540685.615980 yylex_token: #{q:mouse_hyperlink}
1768540685.615985 yylex_token: end at WS
1768540685.615989 yylex_token: 
1768540685.615994 yylex_token: end at WS
1768540685.615999 yylex_token: Horizontal Split
1768540685.616003 yylex_token: end at WS
1768540685.616007 yylex_token: h
1768540685.616013 yylex_token: end at WS
1768540685.616017 yylex_token: split-window
1768540685.616021 yylex_token: end at }
1768540685.616025 yylex_token: -h
1768540685.616031 yylex_token: end at WS
1768540685.616035 yylex_token: Vertical Split
1768540685.616040 yylex_token: end at WS
1768540685.616044 yylex_token: v
1768540685.616049 yylex_token: end at WS
1768540685.616053 yylex_token: split-window
1768540685.616058 yylex_token: end at }
1768540685.616062 yylex_token: -v
1768540685.616066 yylex_token: end at WS
1768540685.616070 yylex_token: 
1768540685.616077 yylex_token: end at WS
1768540685.616081 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1768540685.616086 yylex_token: end at WS
1768540685.616090 yylex_token: u
1768540685.616095 yylex_token: end at WS
1768540685.616099 yylex_token: swap-pane
1768540685.616103 yylex_token: end at }
1768540685.616107 yylex_token: -U
1768540685.616114 yylex_token: end at WS
1768540685.616119 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1768540685.616123 yylex_token: end at WS
1768540685.616127 yylex_token: d
1768540685.616132 yylex_token: end at WS
1768540685.616136 yylex_token: swap-pane
1768540685.616141 yylex_token: end at }
1768540685.616145 yylex_token: -D
1768540685.616152 yylex_token: end at WS
1768540685.616156 yylex_token: #{?pane_marked_set,,-}Swap Marked
1768540685.616160 yylex_token: end at WS
1768540685.616164 yylex_token: s
1768540685.616169 yylex_token: end at }
1768540685.616174 yylex_token: swap-pane
1768540685.616178 yylex_token: end at WS
1768540685.616182 yylex_token: 
1768540685.616187 yylex_token: end at WS
1768540685.616191 yylex_token: Kill
1768540685.616195 yylex_token: end at WS
1768540685.616199 yylex_token: X
1768540685.616204 yylex_token: end at }
1768540685.616208 yylex_token: kill-pane
1768540685.616214 yylex_token: end at WS
1768540685.616218 yylex_token: Respawn
1768540685.616222 yylex_token: end at WS
1768540685.616226 yylex_token: R
1768540685.616231 yylex_token: end at WS
1768540685.616235 yylex_token: respawn-pane
1768540685.616240 yylex_token: end at }
1768540685.616249 yylex_token: -k
1768540685.616255 yylex_token: end at WS
1768540685.616260 yylex_token: #{?pane_marked,Unmark,Mark}
1768540685.616264 yylex_token: end at WS
1768540685.616268 yylex_token: m
1768540685.616273 yylex_token: end at WS
1768540685.616278 yylex_token: select-pane
1768540685.616282 yylex_token: end at }
1768540685.616286 yylex_token: -m
1768540685.616295 yylex_token: end at WS
1768540685.616299 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1768540685.616304 yylex_token: end at WS
1768540685.616308 yylex_token: z
1768540685.616313 yylex_token: end at WS
1768540685.616317 yylex_token: resize-pane
1768540685.616321 yylex_token: end at }
1768540685.616325 yylex_token: -Z
1768540685.616332 cmd_parse_build_commands 0:0: bind
